,Own children of the householder 6 to 17 years,YEAR OF ENTRY Foreign born,Median age (years),GROSS RENT Occupied units paying rent Median (dollars),Sex ratio (males per 100 females),"Educational services, and health care and social assistance",relation_max_fee,White,ROOM Median rooms,Hispanic or Latino (of any race),Mean household income (dollars),VALUE Median (dollars),Mean travel time to work (minutes),Total population,Rental vacancy rate,relation_min_fee,HOUSING TENURE Renter-occupied,"Arts, entertainment, and recreation, and accommodation and food services",SELECTED MONTHLY OWNER COSTS (SMOC) Housing units without a mortgage Median (dollars),SELECTED MONTHLY OWNER COSTS (SMOC) Housing units with a mortgage Median (dollars),Own children of the householder under 6 years,label,INTPTLONG                                                                                                                             ,INTPTLAT,geoid
1627,434.0,2135.0,35.9,1344.0,94.58,0.22,1584.0,0.85,4.6,0.25,73456.0,538100.0,40.2,4273.0,7.4,1302.0,0.67,0.14,624.0,2641.0,413.0,0.0,-73.9026508,40.710208,36081059300.0
1628,160.0,581.0,45.4,1211.0,73.28,0.45,1550.0,0.01,6.4,0.07,90586.0,392500.0,40.1,1712.0,13.4,1012.0,0.14,0.1072845450168516,741.0,1965.0,103.0,0.0,-73.7311844,40.6984691,36081059400.0
1629,563.0,1961.0,35.7,1309.0,91.11,0.22,1540.0,0.78,4.6,0.44,74813.0,585500.0,40.4,4795.0,4.0,1213.0,0.58,0.12,793.0,2842.0,468.0,0.0,-73.9083422,40.713775,36081059500.0
1630,162.0,439.0,44.6,1391.8300338000963,79.09,0.35,1726.0,0.02,6.2,0.05,97742.0,418100.0,49.4,1345.0,4.944467353951887,1012.0,0.08,0.03,818.0,2474.0,79.0,0.0,-73.7370565,40.6971372,36081059600.0
1631,227.0,583.0,38.3,1476.0,76.99,0.29,1726.0,0.06,6.0,0.08,87841.0,374300.0,47.9,1669.0,8.1,1012.0,0.23,0.1,816.0,2595.0,123.0,0.0,-73.7406666,40.6982947,36081059800.0
1632,152.0,327.0,45.3,1584.0,83.53,0.27,1540.0,0.92,5.2,0.24,68939.0,486900.0,38.0,1259.0,4.944467353951887,1263.0,0.36,0.08,766.0,2136.0,48.0,0.0,-73.902132,40.7172449,36081059900.0
1633,157.0,423.0,45.2,1550.0,85.76,0.37,1726.0,0.02,6.3,0.09,106855.0,369400.0,48.7,1122.0,4.944467353951887,1163.0,0.14,0.16,747.0,2260.0,60.0,0.0,-73.7333032,40.695063,36081060000.0
1634,188.0,717.0,41.7,1410.0,105.42,0.21,1584.0,0.78,4.5,0.42,77226.0,530900.0,40.3,1972.0,4.944467353951887,1263.0,0.56,0.07,754.0,3275.0,101.0,0.0,-73.9024125,40.7152135,36081060100.0
1635,217.0,680.0,44.6,1540.0,116.39,0.22,1584.0,0.82,4.9,0.43,87654.0,582900.0,46.0,1941.0,4.944467353951887,1263.0,0.32,0.03,872.0,2409.0,110.0,0.0,-73.8990012,40.7139219,36081060300.0
1636,156.0,635.0,48.4,1726.0,81.96,0.4,1476.0,0.02,6.5,0.05,100598.0,393900.0,47.0,1392.0,4.944467353951887,1012.0,0.17,0.06,777.0,2638.0,39.0,1.0,-73.7353308,40.6917471,36081060600.0
1637,246.0,655.0,45.9,1391.8300338000963,100.8,0.4,2125.0,0.4330876685934471,6.8,0.02,120907.0,423600.0,44.8,1747.0,4.944467353951887,1375.0,0.05,0.06,708.0,2533.0,78.0,1.0,-73.7367254,40.6882912,36081061200.0
1638,673.0,2247.0,36.0,1351.0,94.71,0.2,1397.0,0.81,4.8,0.36,71209.0,493300.0,40.4,5960.0,4.944467353951887,1178.0,0.78,0.11,722.0,2379.0,519.0,0.0,-73.893182,40.7089587,36081061301.0
1639,201.0,808.0,42.8,1556.0,86.11,0.35,2125.0,0.03,6.4,0.05,104093.0,416700.0,48.9,2278.0,14.3,1155.0,0.08,0.01,828.0,2373.0,174.0,0.0,-73.7318753,40.6818554,36081061601.0
1640,140.0,512.0,42.6,1155.0,92.09,0.35,2125.0,0.05,6.7,0.1,109549.0,436600.0,44.8,1262.0,4.944467353951887,1218.0,0.12,0.07,850.0,2684.0,78.0,0.0,-73.7292421,40.6775523,36081061602.0
1641,227.0,752.0,39.4,1218.0,99.79,0.26,2125.0,0.03,4.2,0.01,78963.0,328800.0,54.2,1876.0,4.944467353951887,1155.0,0.27,0.05,846.0,1581.0,118.0,0.0,-73.7364182,40.6768943,36081061800.0
1642,210.0,959.0,42.4,1178.0,88.78,0.28,1568.0,0.85,4.8,0.26,86092.0,543900.0,44.8,2590.0,5.0,1303.0,0.51,0.09,845.0,2572.0,103.0,0.0,-73.8770975,40.7097907,36081061900.0
1643,166.0,387.0,47.0,1391.8300338000963,97.02,0.36,2125.0,0.03,6.4,0.06,114821.0,415500.0,48.4,1521.0,4.944467353951887,1218.0,0.02,0.08,868.0,2465.0,93.0,1.0,-73.7378195,40.6810561,36081062000.0
1644,361.0,663.0,38.8,1477.0,73.68,0.16,1592.0,0.92,4.8,0.25,73230.0,514100.0,34.4,2567.0,4.944467353951887,1178.0,0.51,0.06,814.0,2553.0,170.0,0.0,-73.8726646,40.7100147,36081062100.0
