,Own children of the householder 6 to 17 years,YEAR OF ENTRY Foreign born,Median age (years),GROSS RENT Occupied units paying rent Median (dollars),Sex ratio (males per 100 females),"Educational services, and health care and social assistance",relation_max_fee,White,ROOM Median rooms,Hispanic or Latino (of any race),Mean household income (dollars),VALUE Median (dollars),Mean travel time to work (minutes),Total population,Rental vacancy rate,relation_min_fee,HOUSING TENURE Renter-occupied,"Arts, entertainment, and recreation, and accommodation and food services",SELECTED MONTHLY OWNER COSTS (SMOC) Housing units without a mortgage Median (dollars),SELECTED MONTHLY OWNER COSTS (SMOC) Housing units with a mortgage Median (dollars),Own children of the householder under 6 years,label,INTPTLONG,INTPTLAT,geoid
1666,1037.0,1382.0,,1469.0,98.5,0.16,1777.0,0.31,5.9,0.78,77339.0,213900.0,49.8,4113.0,3.7,1243.0,0.35,0.11,444.0,1405.0,334.0,0.0,-118.0375369,34.5616733,6037910714.0
1667,1370.0,2002.0,,1402.0,110.8,0.26,1750.0,0.37,5.4,0.72,59788.0,223000.0,44.4,6494.0,3.7,1161.0,0.3,0.1,429.0,1515.0,434.0,0.0,-118.0700947,34.5546511,6037910715.0
1668,867.0,1468.0,,1569.0,113.0,0.25,1750.0,0.48,6.2,0.62,85379.0,261500.0,45.3,5862.0,0.0,1161.0,0.27,0.1,602.0,1695.0,636.0,0.0,-118.0731854,34.5463872,6037910716.0
1669,348.0,205.0,,1458.0,99.6,0.1,1828.0,0.88,6.3,0.23,124910.0,543400.0,53.2,2926.0,0.0,1342.0,0.07,0.06,600.0,2502.0,128.0,0.0,-118.1943718,34.5244096,6037910804.0
1670,527.0,372.0,,1538.6825581395349,112.9,0.2,3250.0,0.86,6.2,0.17,120283.0,515700.0,50.0,4687.0,0.0,1456.0,0.1,0.06,668.0,2566.0,307.0,0.0,-118.2228302,34.4705186,6037910805.0
1671,952.0,1300.0,,2274.0,88.9,0.22,2613.0,0.73,6.2,0.35,113617.0,455300.0,45.1,6245.0,0.0,1533.0,0.27,0.06,668.0,2376.0,519.0,0.0,-118.4105719,34.4410273,6037910807.0
1672,513.0,314.0,,2352.0,111.2,0.19,3250.0,0.81,6.0,0.22,120555.0,457000.0,44.1,3385.0,0.0,1892.0,0.07,0.09,480.0,2378.0,274.0,0.0,-118.395844,34.4620693,6037910808.0
1673,285.0,319.0,,2613.0,92.5,0.26,2440.0,0.84,7.5,0.14,173994.0,913100.0,41.2,2131.0,0.0,1533.0,0.05,0.05,997.0,4000.0,152.0,0.0,-118.4098478,34.4091015,6037910809.0
1674,344.0,339.0,,3250.0,115.0,0.29,2613.0,0.72,7.0,0.19,163585.0,590500.0,42.1,2631.0,15.3,1538.6825581395349,0.07,0.11,780.0,2898.0,284.0,0.0,-118.3532786,34.4595477,6037910810.0
1675,395.0,372.0,,1538.6825581395349,110.8,0.16,3250.0,0.88,6.2,0.17,117704.0,603100.0,45.9,4074.0,11.9,1012.0,0.07,0.09,567.0,2721.0,236.0,0.0,-118.3048498,34.5152531,6037910813.0
1676,610.0,811.0,,1193.0,89.0,0.32,1422.0,0.54,5.1,0.47,78324.0,240100.0,46.2,4380.0,0.0,950.0,0.26,0.05,487.0,1682.0,276.0,0.0,-117.8077879,34.4839878,6037911001.0
1677,114.0,131.0,,1012.0,115.8,0.22,3250.0,0.88,5.0,0.2,81837.0,264500.0,41.4,1023.0,0.0,963.0,0.25,0.02,433.0,1436.0,50.0,0.0,-118.3492785,34.5927112,6037920012.0
1678,1096.0,1309.0,,1085.0,113.6,0.25,2663.0,0.65,6.3,0.26,144351.0,494900.0,41.7,6516.0,9.8,1538.6825581395349,0.06,0.09,848.0,2856.0,405.0,0.0,-118.5230964,34.4297662,6037920013.0
1679,1110.0,803.0,,2950.0,111.6,0.23,2663.0,0.79,6.8,0.21,146729.0,578600.0,40.1,5706.0,0.0,1955.0,0.07,0.07,647.0,2960.0,444.0,0.0,-118.5275931,34.4731193,6037920015.0
1680,818.0,699.0,,2558.0,98.8,0.28,2950.0,0.72,7.4,0.25,149287.0,620700.0,36.3,4465.0,0.0,1568.0,0.15,0.13,828.0,3085.0,388.0,0.0,-118.5208803,34.4638784,6037920016.0
1681,726.0,485.0,,1955.0,92.3,0.26,2663.0,0.87,5.8,0.36,110296.0,470800.0,30.9,4491.0,0.0,1538.6825581395349,0.2,0.08,587.0,2233.0,315.0,0.0,-118.5295759,34.4474408,6037920017.0
1682,321.0,220.0,,2425.0,94.3,0.29,2950.0,0.86,5.8,0.24,110391.0,475400.0,34.9,2095.0,6.4,1568.0,0.14,0.07,564.0,2371.0,199.0,0.0,-118.5295464,34.4558936,6037920018.0
1683,1162.0,1345.0,,1980.0,104.5,0.24,2950.0,0.82,6.4,0.31,123276.0,518100.0,36.2,6911.0,0.0,1568.0,0.08,0.11,632.0,2402.0,381.0,0.0,-118.4990703,34.4715219,6037920020.0
1684,490.0,757.0,,1342.0,96.8,0.15,2136.0,0.79,5.6,0.62,91499.0,146900.0,33.5,2781.0,0.0,1561.0,0.17,0.13,720.0,1774.0,131.0,0.0,-118.4919398,34.4234641,6037920023.0
1685,1425.0,1466.0,,2136.0,85.5,0.31,3500.0,0.69,5.9,0.34,136045.0,478100.0,40.0,7271.0,0.0,1342.0,0.14,0.05,639.0,2815.0,975.0,0.0,-118.4869105,34.4392803,6037920028.0
1686,681.0,819.0,,1695.0,95.6,0.14,2136.0,0.71,5.5,0.34,93168.0,423100.0,33.1,3956.0,7.1,1342.0,0.3,0.17,468.0,2059.0,285.0,0.0,-118.4865185,34.4303422,6037920029.0
1687,1007.0,1156.0,,1791.0,91.0,0.26,2136.0,0.66,5.7,0.36,95093.0,426800.0,31.7,5849.0,3.7,1342.0,0.35,0.11,628.0,2283.0,624.0,0.0,-118.4898281,34.4151371,6037920030.0
1688,618.0,1172.0,,1865.0,82.3,0.16,1950.0,0.77,4.9,0.3,81899.0,290100.0,42.4,5618.0,0.0,1342.0,0.15,0.16,717.0,1628.0,276.0,0.0,-118.4836245,34.3994653,6037920031.0
1689,705.0,529.0,,3500.0,94.7,0.2,2136.0,0.71,7.2,0.24,151969.0,632500.0,41.1,3641.0,0.0,1441.0,0.04,0.09,690.0,3133.0,315.0,0.0,-118.4642303,34.4591733,6037920032.0
1690,689.0,907.0,,1441.0,116.3,0.18,3500.0,0.73,5.9,0.38,96923.0,456500.0,34.0,3582.0,0.0,1533.0,0.27,0.14,698.0,2456.0,215.0,0.0,-118.4511824,34.4388053,6037920034.0
1691,1229.0,2197.0,,1950.0,87.8,0.22,2440.0,0.68,5.7,0.49,94229.0,400800.0,37.4,7112.0,0.0,1441.0,0.25,0.12,479.0,2224.0,495.0,0.0,-118.4640472,34.4193105,6037920035.0
1692,573.0,710.0,,1561.0,115.4,0.2,2136.0,0.77,5.4,0.54,90772.0,420600.0,36.5,3170.0,0.0,1342.0,0.38,0.14,548.0,2248.0,218.0,0.0,-118.4758577,34.4215429,6037920036.0
1693,2003.0,2577.0,,1719.0,94.7,0.17,2440.0,0.56,3.8,0.76,64269.0,271100.0,29.3,8266.0,6.4,1441.0,0.83,0.09,450.0,1736.0,1236.0,0.0,-118.4506873,34.4133052,6037920037.0
1694,719.0,1257.0,,1533.0,89.3,0.13,2440.0,0.68,4.0,0.59,61347.0,236600.0,36.7,4299.0,2.5,1441.0,0.6,0.16,722.0,1688.0,385.0,0.0,-118.4469663,34.4236681,6037920038.0
1695,247.0,259.0,,2440.0,109.9,0.17,2232.0,0.79,6.8,0.35,124631.0,519600.0,33.1,1824.0,0.0,1441.0,0.13,0.08,840.0,2531.0,145.0,0.0,-118.4397622,34.4233641,6037920039.0
1696,407.0,1080.0,,1892.0,95.0,0.25,2613.0,0.64,6.2,0.28,115363.0,533200.0,37.8,3360.0,0.0,1441.0,0.31,0.09,591.0,2754.0,389.0,0.0,-118.4274646,34.435608,6037920040.0
1697,635.0,662.0,,2232.0,107.2,0.18,2613.0,0.56,4.6,0.45,82267.0,380600.0,36.2,3100.0,10.6,1441.0,0.68,0.14,738.0,2103.0,312.0,0.0,-118.4333787,34.4180484,6037920041.0
1698,997.0,1263.0,,1815.0,81.8,0.22,2357.0,0.61,4.8,0.34,97918.0,414300.0,38.7,7527.0,0.0,1561.0,0.45,0.07,608.0,2320.0,699.0,0.0,-118.4712312,34.3970572,6037920042.0
