tract_id,house_num,shape_area,shape_length,target
06037211201,152,639234.7285987935,40148.37276591536,0
06037211320,151,788512.609653347,45548.851779942386,0
06037211420,405,1418265.647145264,96436.4098562416,0
06037211701,425,2027427.3455291109,113166.96745744812,0
06037211703,111,1040846.0731527142,47076.288099376274,0
06037211804,105,989182.2475319369,41070.944190276794,0
06037212102,46,745162.6264950078,25532.734336306126,0
06037212202,123,1044266.5965594888,42028.83480101493,0
06037212203,39,678000.7428940843,22708.97320598023,0
06037212204,64,1184270.9300549068,34559.82123411478,0
06037212303,64,1171512.8148774058,35388.877621620064,0
06037212420,127,666584.8007044441,37975.31248430732,0
06037212701,495,1433807.509994472,103130.92730585518,0
06037213201,199,1333306.0394145567,63045.582532226355,0
06037213202,367,1229174.1404001792,82109.15424084471,0
06037213401,101,934597.2819739837,40311.549718180584,0
06037214501,186,4832577.430675909,140678.82822663226,0
06037214502,66,1298780.7948251297,43380.63602955006,0
06037214503,67,944161.7330891615,46054.86654969236,0
06037214901,201,1584938.860402483,65993.75112694106,0
06037214902,197,2521286.396117099,77536.51323763256,0
06037215101,106,2205794.3449682454,58073.24381130653,0
06037215102,164,1331992.9247759194,59220.47431563104,0
06037216401,338,1805553.9178094747,101419.99190266358,0
06037216402,198,1057099.7634200535,58688.28859506978,0
06037217001,564,2163341.6639137305,135432.10820970894,0
06037217002,843,2860383.829221337,194402.5162693599,0
06037218110,518,1790227.9452032126,115751.6425565372,0
06037218120,464,1596507.6971133582,106359.31876747444,0
06037218210,374,1302407.5153728998,82146.73095020995,0
06037218702,283,893806.8955058523,60957.22208753994,0
06037219010,567,1414240.6196604716,112685.68734629024,0
06037219901,637,1634373.5881256089,120372.07218099022,0
06037221120,253,1083435.8662455005,64983.003383814386,0
06037221302,409,1779793.1298375994,103262.0708441835,0
06037221303,216,845945.6545114797,51734.013998246824,0
06037221304,135,995314.6439039609,47100.05639782554,0
06037221602,250,2256738.165795842,87085.05470290912,0
06037221810,237,1045570.8842667178,59444.64064182805,0
06037222002,799,1898478.567160572,154071.638526112,0
06037224010,187,6285628.029450343,137161.08039771218,0
06037224020,303,6318057.291645996,168153.8066833306,0
06037224310,111,592366.5017922658,28652.59589239199,0
06037224420,162,863187.1911371397,46129.367683761135,0
06037226001,397,7527503.166172329,189970.24554494716,0
06037226002,630,22977048.668958113,518865.1502851326,0
06037226410,306,1105104.9815726345,65489.993265549136,0
06037227020,357,1622441.2798372013,82320.4670834147,0
06037228220,480,1177813.9989564521,92609.4417541434,0
06037228310,520,1947985.566815283,113605.84410356198,0
06037229420,598,2374760.2643484958,132950.84628784622,0
06037231220,376,3681185.6301833913,117553.07633017708,0
06037231710,265,921319.9133062424,60733.508374900426,0
06037231720,388,1282330.8286815074,84313.72467599303,0
06037232110,407,1347149.5438471755,88014.05715879005,0
06037232120,497,1307339.464731933,99085.3572954532,0
06037234501,818,2195704.3435522635,165916.67480225943,0
06037234502,624,1486967.4522332575,122525.33915856434,0
06037234901,262,1298919.126380965,69678.62629235661,0
06037234902,409,1483600.9348323308,101221.6869335659,0
06037235201,779,1622799.9854732763,141337.97010974283,0
06037235202,808,2381458.2543481933,172224.32754113135,0
06037236202,215,2267123.153399067,98195.37681801374,0
06037236203,136,1529455.208235666,71323.23350122213,0
06037236204,105,1633522.547846727,55322.26892402179,0
06037237101,504,2363847.6973169926,117860.5789178351,0
06037237102,427,1162045.9468399645,87943.590504304,0
06037237201,550,1107250.2281472404,96231.72607224093,0
06037237202,887,5331593.085965813,214410.73214472295,0
06037237401,633,1230144.0061368728,107901.5289942827,0
06037237402,735,1364281.9402656779,123318.3277708484,0
06037237710,414,1121508.6713224242,83327.93053750726,0
06037238310,303,970237.6841541956,67843.93301725887,0
06037238320,316,1202167.7285705847,71996.65091413603,0
06037239201,398,1162526.3779031783,81488.5439203255,0
06037239202,767,9972993.16815662,279120.23177025,0
06037239310,451,1531812.2339254203,95921.76905177176,0
06037239330,518,7151529.512063675,193736.51450882037,0
06037239501,544,1366807.7777534677,104403.073278973,0
06037239502,490,1859047.8018122222,107734.1244778028,0
06037239601,385,1140598.0097700618,80247.55954596854,0
06037239602,399,1191630.6385622383,80186.81778050106,0
06037239701,477,1054005.6456408834,88395.61095568244,0
06037239702,523,1196425.2296628258,98691.76778767137,0
06037239801,438,993045.8099587573,81782.16517789077,0
06037239802,696,1502474.7484242446,128119.2184080258,0
06037240010,496,2446593.420062553,122007.33630709891,0
06037240020,847,1647690.1354739727,147879.38139003055,0
06037240401,572,1731034.9789384615,119862.09896013586,0
